Entry: 2025-07-14 09:59:00, Exit: 2025-07-14 11:00:00, Entry Level: 57050.00, Exit Level: 56890.00, Reason: fixed_sl, Result: LOSS, P/L: -160.00
Entry: 2025-07-14 10:26:00, Exit: 2025-07-14 11:07:00, Entry Level: 57032.00, Exit Level: 56869.80, Reason: fixed_sl, Result: LOSS, P/L: -162.20
Entry: 2025-07-14 10:24:00, Exit: 2025-07-14 11:08:00, Entry Level: 57027.40, Exit Level: 56861.00, Reason: fixed_sl, Result: LOSS, P/L: -166.40
Entry: 2025-07-14 10:25:00, Exit: 2025-07-14 11:08:00, Entry Level: 57028.00, Exit Level: 56861.00, Reason: fixed_sl, Result: LOSS, P/L: -167.00
Entry: 2025-07-14 10:27:00, Exit: 2025-07-14 11:09:00, Entry Level: 57020.20, Exit Level: 56853.80, Reason: fixed_sl, Result: LOSS, P/L: -166.40
Entry: 2025-07-14 10:28:00, Exit: 2025-07-14 11:09:00, Entry Level: 57014.60, Exit Level: 56853.80, Reason: fixed_sl, Result: LOSS, P/L: -160.80
Entry: 2025-07-14 10:29:00, Exit: 2025-07-14 11:09:00, Entry Level: 57020.40, Exit Level: 56853.80, Reason: fixed_sl, Result: LOSS, P/L: -166.60
Entry: 2025-07-14 10:30:00, Exit: 2025-07-14 11:28:00, Entry Level: 56988.00, Exit Level: 56812.40, Reason: fixed_sl, Result: LOSS, P/L: -175.60
Entry: 2025-07-14 10:31:00, Exit: 2025-07-14 11:28:00, Entry Level: 56976.60, Exit Level: 56812.40, Reason: fixed_sl, Result: LOSS, P/L: -164.20
Entry: 2025-07-14 10:39:00, Exit: 2025-07-14 11:28:00, Entry Level: 56944.00, Exit Level: 56812.40, Reason: final_close, Result: LOSS, P/L: -131.60
Entry: 2025-07-14 10:40:00, Exit: 2025-07-14 11:28:00, Entry Level: 56936.00, Exit Level: 56812.40, Reason: final_close, Result: LOSS, P/L: -123.60
Entry: 2025-07-14 10:45:00, Exit: 2025-07-14 11:28:00, Entry Level: 56955.20, Exit Level: 56812.40, Reason: final_close, Result: LOSS, P/L: -142.80
Entry: 2025-07-14 10:46:00, Exit: 2025-07-14 11:28:00, Entry Level: 56943.00, Exit Level: 56812.40, Reason: final_close, Result: LOSS, P/L: -130.60
Entry: 2025-07-14 10:47:00, Exit: 2025-07-14 11:28:00, Entry Level: 56924.80, Exit Level: 56812.40, Reason: final_close, Result: LOSS, P/L: -112.40
